梅州柚溃疡病防控技术规范,DB4414/T 31-2024,梅州市市场监督管理局,114099-2024
度尾文旦柚  采收和采后处理技术规范,DB35/T 700-2006,福建省市场监督管理局,109463-2024
度尾文旦柚  栽培技术规范,DB35/T 693-2006,福建省市场监督管理局,109459-2024
度尾文旦柚  育苗技术规范,DB35/T 692-2006,福建省市场监督管理局,109458-2024
井冈蜜柚采后商品化处理技术规程,DB36/T 1926-2023,江西省市场监督管理局,107786-2024
梅州柚无病毒嫁接苗繁育技术规程,DB4414/T 22-2023,梅州市市场监督管理局,106656-2024
梅州柚主要病虫害综合防控技术规程,DB4414/T 21-2023,梅州市市场监督管理局,106655-2024
合江真龙柚生产技术规程,DB5105/T 63-2023,泸州市市场监督管理局,105290-2023
井冈蜜柚平衡施肥技术规程,DB36/T 1870-2023,江西省市场监督管理局,104817-2023
香柚采收与贮藏要求,DB5206/T 152-2023,铜仁市市场监督管理局,99365-2023
香柚病虫害防治技术规范,DB5206/T 151-2023,铜仁市市场监督管理局,99364-2023
香柚栽培技术规范,DB5206/T 150-2023,铜仁市市场监督管理局,99363-2023
香柚苗木培育技术规范,DB5206/T 149-2023,铜仁市市场监督管理局,99362-2023
柚栽培技术规程 第1部分：鸡尾葡萄柚,DB42/T 2035.1-2023,湖北省市场监督管理局,99058-2023
地理标志产品  南部脆香甜柚生产技术规程,DB5113/T 23-2022,南充市市场监督管理局,95582-2023
地理标志产品 容县沙田柚栽培技术规程,DB45/T 2594-2022,广西壮族自治区市场监督管理局,95272-2023
地理标志产品 沼山胡柚,DB42/T 1959-2023,湖北省市场监督管理局,95266-2023
琯溪蜜柚栽培技术规程,DB3502/T 009-2022,厦门市市场监督管理局,93947-2022
安墩蜜柚 生产技术规程,DB4413/T 31-2022,惠州市市场监督管理局,93526-2022
常山胡柚绿色生产技术规程,DB3308/T 113-2022,衢州市市场监督管理局,92972-2022
鸡尾葡萄柚生产准技术规程,DB3308/T 101-2022,衢州市市场监督管理局,88053-2022
皋泄香柚生产技术规程,DB3309/T 88—2021,舟山市,88022-2022
地理标志产品  通贤柚种植技术规范,DB5120/T 8-2021,资阳市市场监督管理局,86224-2022
地理标志产品   荔波蜜柚,DB5227/T 106-2021,黔南布依族苗族自治州市场监督管理局,85125-2021
地理标志产品   荔波蜜柚生产技术规程,DB5227/T 105-2021,黔南布依族苗族自治州市场监督管理局,85124-2021
度尾文旦柚 品种,DB35/T 691-2021,福建省市场监督管理局,84391-2021
沙田柚低产园改造技术规程,DB45/T 2348-2021,广西壮族自治区市场监督管理局,84036-2021
井冈蜜柚病虫害绿色防控技术规程,DB36/T 1466-2021,江西省市场监督管理局,83377-2021
井冈蜜柚水肥一体化技术规程,DB36/T 1465-2021,江西省市场监督管理局,83376-2021
地理标志产品 天宝蜜柚,DB5107/T 82—2020,绵阳市市场监督管理局,83294-2021
地理标志产品 长坝沙田柚,DB4402/T 09-2021,韶关市市场监督管理局,83257-2021
地理标志产品  融水糯米柚,DB45/T 2314-2021,广西壮族自治区市场监督管理局,82417-2021
地理标志产品 会昌桔柚,DB36/T 1417-2021,江西省市场监督管理局,81992-2021
地理标志产品 龙安柚,DB5116/T 6-2021,广安市市场监管管理局,79566-2021
地理标志产品 汶朗蜜柚,DB4412/T 08-2021,肇庆市市场监督管理局,79438-2021
甜桔柚生产技术规范,DB3311/T 28─2020,丽水市市场监督管理局,77785-2021
井冈蜜柚 生产技术规程,DB36/T 811-2020 ,江西省市场监督管理局,76648-2020
地理标志产品 白市柚生产技术规程,DB5116/T 2-2020,广安市市场监管管理局,76351-2020
地理标志产品 龙安柚生产技术规程,DB5116/T 1-2020,广安市市场监管管理局,76350-2020
地理标志产品 梅州金柚,DB4414/T 1-2020,梅州市市场监督管理局,75067-2020
富硒贡水白柚生产技术规程,DB4228/T 033-2019,恩施土家族苗族自治州市场监督管理局,75031-2020
琯溪蜜柚栽培技术规程,DB45/T 2088-2019,广西壮族自治区市场监督管理局,72264-2020
印江红香柚种植及品质提升关键技术规程,DB5206/T112-2019,铜仁市市场监督管理局,70244-2020
印江红香柚露地育苗技术规程,DB5206/T111-2019,铜仁市市场监督管理局,70243-2020
印江红香柚采收与保鲜技术规程,DB5206/T110-2019,铜仁市市场监督管理局,70242-2020
印江红香柚病虫害防控技术规范,DB5206/T109-2019,铜仁市市场监督管理局,70241-2020
天宝蜜柚标准化生产技术规程,DB5107/T 60-2019,绵阳市市场监督管理局,70125-2020
南康甜柚 容器育苗技术规程,DB36/T 247-2019,江西省市场监督管理局,69972-2020
南康甜柚 栽培技术规程,DB36/T 246-2019,江西省市场监督管理局,69971-2020
地理标志产品 南康甜柚,DB36/T 243-2019,江西省市场监督管理局,69970-2020
地理标志产品 思州柚,DB5226/T214-2019,黔东南苗族侗族自治州市场监督管理局,69545-2020
柚木栽培技术规程,DB45/T 1708-2018,广西壮族自治区市场监督管理局,68656-2019
柚木组培苗生产技术规程,DB45/T 1707-2018,广西壮族自治区市场监督管理局,68655-2019
地理标志产品  容县沙田柚,DB45/T 210-2018,广西壮族自治区市场监督管理局,68324-2019
地理标志产品 广丰马家柚,DB36/T 1057-2018,江西省质量技术监督局,61375-2019
井冈蜜柚套种印度豇豆生产技术规程,DB36/T 1020-2018,江西省质量技术监督局,58628-2018
沙田柚主要病虫害综合防治技术规程,DB45/T 1499-2017,广西壮族自治区质量技术监督局,56101-2017
琯溪蜜柚栽培技术规范,DB35/T 572-2016,福建省质量技术监督局,57016-2017
苹果柚栽培技术规程,DB43/T 1116-2015,湖南省质量技术监督局,52962-2017
红肉蜜柚栽培技术规范,DB35/T 1572-2016,福建省质量技术监督局,52422-2017
柚实雷瘿蚊检疫鉴定方法,DB35/T 1560-2016,福建省质量技术监督局,52410-2017
无籽蜜柚生产技术规程,DB46/T 414-2016,海南省质量技术监督局,52371-2017
桂柚1号栽培技术规程,DB45/T 1237-2015,广西壮族自治区质量技术监督局,49288-2016
柑橘属果实中柚皮苷、橙皮苷和新橙皮苷的测定 高效液相色谱法,DB35/T 1513-2015,福建省质量技术监督局,48580-2016
真龙柚生产技术规程,DB51/T 1879-2014,四川省质量技术监督局,44224-2015
鄂州胡柚丰产栽培技术规程,DB42/T 980-2014,湖北省质量技术监督局,42776-2014
柚木容器苗培育技术规程,DB45/T 975-2014,广西壮族自治区质量技术监督局,42179-2014
人工释放捕食螨防治柑、橙、柚类果树害螨技术规程,DB45/T 924-2013,广西壮族自治区质量技术监督局,38554-2013
有机食品 沙田柚生产技术规程,DB45/T 824-2012,广西壮族自治区质量技术监督局,34842-2012
地理标志产品 建阳桔柚,DB35/T 1097-2011,福建省质量技术监督局,32146-2012
地理标志产品 度尾文旦柚,DB35/T 1128-2011,福建省质量技术监督局,32176-2012
长寿沙田柚生产技术规程,DB50/T 267-2007,重庆市质量技术监督局,22456-2008
长寿沙田柚,DB50/T 266-2007,重庆市质量技术监督局,22455-2008
绿色食品 沙田柚生产技术规程,DB45/T 201-2004,广西壮族自治区质量技术监督局,17959-2006
柚木栽培技术规程,DB44/T 287-2005,广东省质量技术监督局,17812-2006
沙田柚苗木生产技术规程,DB45/T 62-2003,广西壮族自治区质量技术监督局,13952-2003
无公害农产品 沙田柚生产技术规程,DB45/T 68-2003,广西壮族自治区质量技术监督局,13958-2003
沙田柚采收贮藏技术规程,DB45/T 67-2003,广西壮族自治区质量技术监督局,13957-2003
沙田柚苗木分级,DB45/T 69-2003,广西壮族自治区质量技术监督局,13959-2003
沙田柚苗木生产管理,DB45/T 61-2003,广西壮族自治区质量技术监督局,13951-2003
沙田柚生产技术规程,DB44/T 133-2003,广东省质量技术监督局,13756-2003
柚子嫁接苗繁育技术规程,DB44/T 132-2003,广东省质量技术监督局,13755-2003
辰州无核香柚,DB43/T 131.6-1999,湖南省质量技术监督局,838-1999
